boundary_loss,boundary_loss_epoch,boundary_loss_step,epoch,integrat_loss,integrat_loss_epoch,integrat_loss_step,population_loss,population_loss_epoch,population_loss_step,residual loss,residual loss_epoch,residual loss_step,step,total_loss,total_loss_epoch,total_loss_step,val_loss
65.37810516357422,,,0,246.51646423339844,,,21140.216796875,,,0.006684846244752407,,,27,612.1007080078125,,,612.1007080078125
,52.502193450927734,,0,,236.8752899169922,,,13958.345703125,,,0.013403046876192093,,27,,570.638427734375,,
,,47.910621643066406,1,,,280.8758544921875,,,4046.63134765625,,,0.013772712089121342,49,,,642.1627807617188,
34.839054107666016,,,1,287.7880859375,,,11003.1982421875,,,0.0119621017947793,,,55,638.8129272460938,,,638.8129272460938
,47.292728424072266,,1,,279.1434020996094,,,12114.9619140625,,,0.011869439855217934,,55,,642.179931640625,,
50.30463790893555,,,2,269.55133056640625,,,15043.93359375,,,0.008142730221152306,,,83,625.59375,,,625.59375
,47.826595306396484,,2,,273.9830322265625,,,12965.9697265625,,,0.008019783534109592,,83,,631.1126708984375,,
,,23.76778221130371,3,,,290.4222412109375,,,16291.845703125,,,0.004290202632546425,99,,,626.394287109375,
21.918596267700195,,,3,304.6321716308594,,,10161.62109375,,,0.003042343771085143,,,111,648.4227294921875,,,648.4227294921875
,36.85158920288086,,3,,290.08563232421875,,,9084.6875,,,0.005526594817638397,,111,,642.2984619140625,,
31.59259796142578,,,4,287.7857360839844,,,7800.38671875,,,0.0010960870422422886,,,139,627.3057250976562,,,627.3057250976562
,30.721233367919922,,4,,289.95068359375,,,11556.8046875,,,0.005887574516236782,,139,,632.2726440429688,,
,,31.97545051574707,5,,,282.2630615234375,,,4046.573974609375,,,0.001152342651039362,149,,,615.0521240234375,
40.166168212890625,,,5,264.1777038574219,,,14612.0712890625,,,0.019969357177615166,,,167,593.97216796875,,,593.97216796875
,37.52436828613281,,5,,275.7478332519531,,,13369.5771484375,,,0.015107458457350731,,167,,613.0923461914062,,
17.187171936035156,,,6,301.8564453125,,,6698.99560546875,,,0.00035602241405285895,,,195,630.7538452148438,,,630.7538452148438
,29.158262252807617,,6,,276.3226623535156,,,12786.947265625,,,0.009611131623387337,,195,,600.3861694335938,,
,,70.65252685546875,7,,,222.4646759033203,,,22590.95703125,,,0.07360313832759857,199,,,555.6417846679688,
13.671884536743164,,,7,318.19000244140625,,,1907.5775146484375,,,0.00018104420450981706,,,223,655.5808715820312,,,655.5808715820312
,30.594919204711914,,7,,273.86358642578125,,,11215.369140625,,,0.019604850560426712,,223,,596.28466796875,,
,,29.023357391357422,8,,,244.0181884765625,,,3597.09814453125,,,8.072414493653923e-05,249,,,535.967041015625,
16.187776565551758,,,8,273.5755310058594,,,10175.384765625,,,9.935351408785209e-05,,,251,574.670654296875,,,574.670654296875
,25.918262481689453,,8,,269.2491760253906,,,8095.802734375,,,0.013384277001023293,,251,,579.6561889648438,,
12.219093322753906,,,9,304.85711669921875,,,1152.83203125,,,5.403523755376227e-05,,,279,627.74658203125,,,627.74658203125
,25.303142547607422,,9,,275.145751953125,,,5234.5380859375,,,0.021971115842461586,,279,,588.0901489257812,,
,,6.2267351150512695,10,,,289.14373779296875,,,15855.5791015625,,,3.343692151247524e-05,299,,,589.0328979492188,
34.61266326904297,,,10,238.54776000976562,,,1703.7388916015625,,,0.03538775071501732,,,307,528.482421875,,,528.482421875
,15.66524600982666,,10,,290.4200744628906,,,4771.32958984375,,,0.012141642160713673,,307,,603.47314453125,,
15.664088249206543,,,11,258.5221862792969,,,2993.189697265625,,,3.935869244742207e-05,,,335,541.6514282226562,,,541.6514282226562
,15.506710052490234,,11,,286.98919677734375,,,3977.64990234375,,,0.017060695216059685,,335,,596.01318359375,,
,,3.327223777770996,12,,,331.4296875,,,655.5231323242188,,,1.2206188330310397e-05,349,,,666.1670532226562,
15.462431907653809,,,12,257.0897216796875,,,366.44696044921875,,,2.53263751801569e-05,,,363,536.9822998046875,,,536.9822998046875
,19.963504791259766,,12,,268.9032897949219,,,1001.2568969726562,,,0.022777488455176353,,363,,565.9590454101562,,
1.9866148233413696,,,13,319.5495910644531,,,1120.59033203125,,,5.216126282903133e-06,,,391,641.24755859375,,,641.24755859375
,16.522123336791992,,13,,275.25433349609375,,,942.517333984375,,,0.025211352854967117,,391,,572.8272094726562,,
,,2.4053282737731934,14,,,289.84063720703125,,,2265.281494140625,,,4.699699729826534e-06,399,,,583.2149658203125,
5.6391754150390625,,,14,289.6285400390625,,,661.3062744140625,,,7.3547598731238395e-06,,,419,587.18896484375,,,587.18896484375
,8.859454154968262,,14,,288.3719482421875,,,764.3255615234375,,,0.008550198748707771,,419,,588.65966796875,,
21.017578125,,,15,252.3418731689453,,,210.90663146972656,,,0.039670154452323914,,,447,531.6848754882812,,,531.6848754882812
,12.607316017150879,,15,,279.9849853515625,,,466.42352294921875,,,0.026273038238286972,,447,,576.2020874023438,,
,,0.9731608629226685,16,,,331.86151123046875,,,141.5934295654297,,,2.263825990667101e-06,449,,,664.463134765625,
16.308576583862305,,,16,282.2795104980469,,,489.3271789550781,,,0.06845419108867645,,,475,585.1810302734375,,,585.1810302734375
,9.654023170471191,,16,,283.472900390625,,,478.7090759277344,,,0.024619566276669502,,475,,579.4273071289062,,
,,5.085855960845947,17,,,281.027099609375,,,82.97191619873047,,,1.040594611367851e-06,499,,,567.591064453125,
