biosample_id,0,1,2,3,4,5,6,7,8,9,10,11,12,14,16,20,24,25,26,28,sc_ncells_filt,flow_total,start_age,time,sc_ncells_total
2w4w_SITTA4_146819.61b,343,268,319,226,286,322,189,185,189,211,64,150,59,48,48,9,3,5,6,2,2932,430125.7447203483,young,27,3149
2w4w_SITTA4_146819.61h,472,479,408,461,321,299,407,288,309,181,246,172,133,44,50,24,25,13,11,6,4349,177614.9704833651,young,27,4725
2w4w_SITTB4_146818.66d,168,284,230,262,152,152,208,188,142,312,75,237,72,87,26,58,1,7,7,0,2668,568858.0896062212,young,12,2820
2w4w_SITTB4_146818.66g,362,390,334,382,279,302,424,266,249,338,216,227,107,99,63,49,9,10,11,7,4124,431659.0787191061,young,12,4499
3d7d_SITTC7_146814.46d,253,166,290,266,217,218,300,95,79,165,101,113,48,101,55,16,12,3,2,4,2504,367767.0000000254,young,3,2844
3d7d_SITTC7_146814.46e,341,310,419,562,277,281,548,141,164,232,294,186,76,153,50,35,21,13,7,3,4113,284883.42618536815,young,3,4816
5mo_SIGAF9_146812.56e,505,324,445,337,429,414,299,314,287,112,178,83,110,92,99,3,34,18,6,41,4130,1153203.4682185077,young,161,4761
5mo_SIGAF9_146818.58g,467,276,397,357,407,347,336,212,291,111,195,110,97,87,69,9,18,15,6,5,3812,589288.4314989413,young,161,4457
7d_SIGAA5_14681.30e,220,257,260,295,164,192,244,150,145,252,163,195,84,274,85,44,12,21,19,1,3077,659084.0000000771,young,7,3598
7d_SIGAA5_14681.32c,251,287,323,406,258,257,312,150,153,144,211,88,112,448,81,19,31,21,27,10,3589,417946.0000000313,young,7,4068
7w11w_SITTB3_146812.57b,387,394,344,238,363,346,283,207,247,250,104,190,116,58,99,43,13,13,8,8,3711,1143088.2479868548,young,76,3961
7w11w_SITTB3_146812.57f,545,600,392,365,378,305,334,364,366,402,171,384,205,90,50,77,25,35,13,9,5110,666014.383185951,young,76,5749
7w11w_SITTE3_146817.63a,358,251,273,404,243,234,364,217,208,173,211,132,98,8,29,42,15,11,1,5,3277,982135.1928000667,young,49,3542
7w11w_SITTE3_146817.63f,544,283,539,517,440,439,384,228,275,215,315,182,127,53,80,47,16,19,5,7,4715,683243.2715345301,young,49,5258
9mo_SIGAG3_14686.30d,537,271,211,176,234,228,171,460,336,150,30,119,68,20,64,20,4,15,10,18,3142,791790.9405340736,young,269,3228
9mo_SIGAG3_14686.30j,401,487,493,510,376,355,355,343,324,242,348,241,177,39,60,40,23,35,34,5,4888,,young,269,5098
16w_SITTF12_146815.60b,236,246,237,226,200,168,185,166,135,136,113,103,81,45,56,6,11,13,10,26,2399,653298.6510481258,young,112,2532
16w_SITTF12_146815.60f,447,358,342,260,355,354,290,249,246,209,114,185,110,163,102,30,18,12,13,37,3894,612404.1057550497,young,112,4213
