biosample_id,0,1,2,3,4,5,6,7,8,9,10,11,12,14,16,20,24,25,26,28,sc_ncells_filt,flow_total,start_age,time,sc_ncells_total
7dr2_7dold_SITTC4_146812.56a,557,289,306,320,332,290,321,287,287,146,208,85,73,51,49,9,25,23,11,6,3675,697021.6953750022,aged,7,4080
7dr2_7dold_SITTC4_146817.54f,385,476,662,638,484,487,596,255,267,247,305,220,136,297,117,26,43,29,36,5,5711,276628.2085587834,aged,7,7172
