method,space,clone,w2_raw_mean,w2_raw_std,w2_scaled_mean,n_runs,clone_size_src,clone_size_tgt,clone_size_d6,dominant_fate,multipotency,pseudotime_spread,clone_size_d4,initial_var_dm,initial_var_pc
DeepRUOT,dm10,Clone_3391,0.00767990828830485,0.0009247961701457036,0.00767990828830485,4,2,20,20,Baso,1,0.049304815246206155,2,0.0031898759376497443,10.516659247656612
DeepRUOT,dm10,Clone_3429,0.010186044950614051,0.0007306167760842918,0.010186044950614051,4,20,1,1,Monocyte,1,0.0,20,1.2106735172871403,6.561291108224228
DeepRUOT,dm10,Clone_3438,0.003047294177376925,0.0005378033765840739,0.003047294177376925,4,31,60,60,Monocyte,2,0.05403636556885514,31,1.8515856965966984,9.24900737000312
DeepRUOT,dm10,Clone_3522,0.0065299135571656,0.0005206981478922804,0.0065299135571656,4,6,41,41,Neutrophil,2,0.13405377074455824,6,0.7101373222154671,3.497397656656704
DeepRUOT,dm10,Clone_358,0.0026587138099349,0.000741430717428079,0.0026587138099349,4,9,18,18,undiff,0,0.021143447576289647,9,0.12479959213126325,3.8640199482448963
DeepRUOT,dm10,Clone_3585,0.0061108178466408244,0.000839466060146872,0.0061108178466408244,4,6,70,70,Baso,3,0.06845826625704189,6,2.5918908186280167,7.57290917923037
DeepRUOT,dm10,Clone_3619,0.00604930872041495,0.0007358835879979079,0.00604930872041495,4,2,24,24,Monocyte,1,0.03402846784521976,2,0.018038181964413612,6.091645300053623
DeepRUOT,dm10,Clone_3682,0.008165657470665375,0.000551191659607788,0.008165657470665375,4,9,55,55,Baso,3,0.06771963051087009,9,0.32762931265207107,5.171878406383085
DeepRUOT,dm10,Clone_3718,0.0031367583207897003,0.0004817392890238163,0.0031367583207897003,4,4,29,29,undiff,0,0.021676354425988455,4,0.022966480440644012,5.791671691579242
DeepRUOT,dm10,Clone_3736,0.00289408685105485,0.0005997855248123048,0.00289408685105485,4,9,13,13,Monocyte,1,0.023466874751066718,9,1.7376384028382348,14.794947589668128
DeepRUOT,dm10,Clone_374,0.005240860101491875,0.0006414856114567753,0.005240860101491875,4,10,15,15,Neutrophil,1,0.06616983226232935,10,4.132377803817445,9.39538486096213
DeepRUOT,dm10,Clone_3840,0.007126274434043325,0.0005274622875577742,0.007126274434043325,4,35,46,46,Neutrophil,2,0.1449663979882648,35,2.0556227889900978,6.576694866473939
DeepRUOT,dm10,Clone_3887,0.003164966458091975,0.0006035151725395677,0.003164966458091975,4,19,28,28,Monocyte,2,0.04869020778965274,19,3.476511776859283,13.785224414532609
