GENE NAMES,,,,,,,,,,,,,,,,,,,,,,,,
mt-Co3,Serpinb1a,Ap3s1,Rps14,Ifitm3,Eltd1,Ifit1,,Cldn10,Chst7,Ms4a4b,Rapgef4,mt-Co2,Klf2,Cdk4,Itga2b,Cs,,,,,,,,
Tmem176b,Ccl9,Hnrnph1,Rpl13,Ptk2b,Fchsd2;mKIAA0769,Carns1,,Ptpn14,Panx2,Ifitm6,Myom1,Mettl7a1,Cebpb,Rps17,Hist1h2ap,ND1,,,,,,,,
Lmo2,Oaz1,Hmgb2,Ly6a,Lmo2,Gabarapl1,Gstm1,,Mettl7a1,Ccdc152,ENSMUSG00000096982,Lrrc66,H2-K1,Nfkbiz,Dut,Car1,Entpd7,,,,,,,,
Ly6a,H2afz,Snrpf,Lrrc56,Gclm,Gcnt2,Pdzk1ip1,,Smtnl1,4933406I18Rik,Gpr141,Lrch2,Gimap1,Nr4a2,Lmnb1,Vim,Rps28,,,,,,,,
Mmrn1,Crip1,Sell,Vwf,Sbspon,Gimap1,Sytl1,,Ctsf,Actn3,Upb1,9930014A18Rik,Ltb,Eif1,Dynll1,Lgals9,Rps19,,,,,,,,
Trim47,Mcm7,Tmem14c,Gda,Bex4,Gimap6,Tcp11l2,,Gstm1,Stx1a,ENSMUSG00000081953,Trpc6,Ogt,Hist1h1c,Nucks1,Slc25a5,Rpl23,,,,,,,,
St3gal1,Cpa3,Ptma,Rps13,Ccnd1,Gm6251,Hoxa7,,Sox18,Sntg2,Nova1,Ptn,Cbx6,Srsf5,Rrm1,Hn1,Rpl37,,,,,,,,
Mecom,Vim,Mcm4,mt-Co3,Pgr,Gpr56,A430104N18Rik,,Fads3,Glis1,Gm14085,Eya2,Lst1,Fosb,Cd34,Crip1,Lsm2,,,,,,,,
Pik3r1,Ybx1,Pdss1,Rpl30,Gstm2,H2-K1,Tecpr1,,,Gfi1,Col1a1,Anpep,mt-Co3,Nfkbia,Pa2g4,Tuba1b,Rps3a1,,,,,,,,
Adgrg1,Sell,Npm1,Hlf,Oxr1,H2-T10;H2-T22;H2-T9;H2-t9;H2-T23,Ikbke,,,Gm15034,Atp8b4,Adarb1,Gbp2,Btg1,Eif4a1,Serbp1,Ubap2,,,,,,,,
Esam,Sh3bgrl3,Myb,Pik3r1,Socs2,Hlf,Mboat4,,,Sema6d,Hsd11b1,Cldn12,B2m,Socs3,Igfbp4,Plek,Eef1a1,,,,,,,,
Ryk,H3f3a,Rps24,Rpl5,Gapdh,Hoxb2,Tmem53,,,Inhba,ENSMUSG00000097383,OTTMUSG00000004461,Igtp,Zfp36l2,Rps8,Dut,ENSMUSG00000083563,,,,,,,,
Rps21,Dut,Igkc,Txnip,Cdkn1c,Ifitm1,Gm2830,,,Shd,Lilrb4,Plscr4,Psap,Csrnp1,Serf2,Adgrg3,Rpl37a,,,,,,,,
Hoxb8,Atpif1,Ndufa4,Rps21,Mpl,Ifitm2,5830416P10Rik,,,Neo1,Pik3r6,Fstl1,Camk2d,Dnajb1,Hnrnpf,Ier3,Eed,,,,,,,,
Ccnd1,Ran,Pabpc1,Mecom,Clec1a,Ifitm3,Cln3,,,Gm9378,Ebf1,1700029J07Rik,Ifitm1,Adrb2,Sh3bgrl3,Hmgb1,Rps18,,,,,,,,
Uba7,Hnrnpa2b1,Cd48,Hoxb8,Adgrl4,Krt18,Sox4,,,Cyp26b1,Gypa,Bex4,Itsn1,Ccl4,Ranbp1,Pdcd4,ND2,,,,,,,,
Rps28,Hdgf,Ms4a3,Rps4x,F11r,Ldhb,Jhdm1d,,,A3galt2,Wasf1,ENSMUSG00000055181,Rpl17,Klf4,Cdca8,Set,Ddt,,,,,,,,
Serpina3g,Mcm4,Top2a,Pdzk1ip1,S100a6,Leprel2,BC026585,,,Gimap3,ENSMUSG00000085872,ENSMUSG00000073019,Nfic,Pim1,Anp32b,Gata1,Rps14,,,,,,,,
Rpl37a,Elane,Tk1,Gm17541,Gstm1,Lhcgr,H2-Eb1,,,Klrb1c,Ccr1,Cc2d2a,Esam,Cd69,Snrpf,Atp5k,Rheb,,,,,,,,
Fkbp1a,Rabgap1l,Ran,St3gal1,Slamf1,Lmo2,Mvp,,,Fut4,Klra13-ps,Gbp2,Zfp467,Dusp2,Cks1b,2010107E04Rik,Rpl13,,,,,,,,
Pdzk1ip1,Cmtm7,Chchd2,Def8,Serinc3,Ly6a,Rps27,,,Efna1,Yap1,Nbea,Cyp2j6,Fgfr1op2,Dctpp1,Cuta,1110038F14Rik,,,,,,,,
Selp,Rpsa,Gapdh,Rps11,Cd63,Malat1,Tmem176b,,,D230022J07Rik,Siglech,Arhgef6,Aldoa,Ptgs2,Cdk1,Samd14,Rps20,,,,,,,,
