,gene_symbol
410,Ube2e2
411,Wapl
412,Wdhd1
413,Dlgap5
414,Cenpj
415,Ska3
416,Tnf
417,Tpd52l1
418,Trex1
419,Trp53
420,Trp73
421,Ttk
422,Tuba1a
423,Tuba1b
424,Tuba3a
425,Tuba4a
426,Tuba1c
427,Tubb2a
428,Tubb3
429,Tubb4a
430,Tubb5
431,Uba3
432,Ube2a
433,Unc119
434,Prap1
435,Ttll12
436,Pim3
437,Baz1b
438,Wee1
439,Aaas
440,Klhl22
441,Wnt10b
442,Dctn6
443,Wac
444,Rbbp8
445,Eml3
446,Xpc
447,Smc5
448,Afap1l2
449,Ywhae
450,Ywhah
451,Zfp207
452,Ctdsp1
453,Gigyf2
454,Tubb4b
455,Ambra1
456,Kif18a
457,Kat14
458,Ints3
459,Cdc14a
460,Cenpe
461,Shb
462,Zmpste24
463,Phf13
464,Chfr
465,Rad9b
466,Mepce
467,Wnk1
468,Ccdc61
469,Wdr62
470,Tubgcp5
471,Prc1
472,Insc
473,Dcun1d3
474,Pcid2
475,Arhgef10
476,Nae1
477,Rfwd3
478,Chmp1a
479,Cdk10
480,Cep126
481,Kank2
482,Septin7
483,Snx33
484,Topbp1
485,Parp3
486,Setd2
487,Dync1li1
488,Ofd1
489,Zc3h12d
490,Atad5
491,Banf1
492,Kcnh5
493,Cdc6
494,Tubal3
495,Btn2a2
496,Setdb2
497,Jtb
498,Nek4
499,Pebp1
500,Cib1
501,Arid1b
502,Ik
503,Fsd1
504,Ythdc2
505,Smc1a
506,Spry1
507,Spry2
508,Kif20b
509,Ccnj
510,Sra1
511,Taf10
512,Brinp2
513,Tpra1
514,Pkhd1
515,Ubd
516,L3mbtl1
517,Myo16
518,Mcph1
519,Atr
520,AY074887
521,Tubgcp3
522,Creb3l1
523,Cul3
524,Eme1
525,Meioc
526,Ccnb1
527,Fam107a
528,Cenph
529,Pkmyt1
530,Ppp2r5c
531,Racgap1
532,Rtel1
533,Nherf1
534,Jade1
535,Zw10
536,Vcp
537,Clspn
538,Brd7
539,Map1s
540,Klhl18
541,Asns
542,Mbtps2
543,Dbf4
544,Azi2
545,Nbn
