,gene_symbol
0,Dgkz
1,Casp2
2,Ccnd1
3,Cdkn1a
4,Plk3
5,Cradd
6,Ptprv
7,Mdm2
8,Muc1
9,Pml
10,Prkdc
11,Rpa2
12,Rpl26
13,Sde2
14,Trex1
15,Trp53
16,Prap1
17,Wac
18,Gigyf2
19,Rfwd3
20,Ppp2r5c
21,E2f7
22,Rbm38
23,Pidd1
24,Rps27l
25,Fbxo31
