time,Var2,dpt
0,exp_1,0.0860514513924647
0,exp_1,0.0875232669170724
0,exp_1,0.11884349597784
0,exp_1,0.00204312930366753
0,exp_1,0.059882105508357
0,exp_1,0.270148531011811
0,exp_1,0.0350764965774974
0,exp_1,0.101393260056875
0,exp_1,0.0263499622840747
0,exp_1,0.132490735696465
0,exp_1,0.0337633880959856
0,exp_1,0.0562744142057931
0,exp_1,0.324165559739067
0,exp_1,0.0418376919609319
0,exp_1,0.134980871733413
0,exp_1,0.194265981588943
0,exp_1,0.323625940563866
0,exp_1,0.0537012575694912
0,exp_1,0.0384041137761683
0,exp_1,0.0522239293106046
0,exp_1,0.131653039775353
0,exp_1,0.0584015783901414
0,exp_1,0.0274007794982147
0,exp_1,0.0735893063247052
0,exp_1,0.0708019498861883
0,exp_1,0.0649102895450811
0,exp_1,0.0482332491467751
0,exp_1,0.286225663764663
0,exp_1,0.117264931954124
0,exp_1,0.0396856949187607
0,exp_1,0.136131779745709
0,exp_1,0.0638400734552124
0,exp_1,0.113182159364459
0,exp_1,0.0455546320068755
0,exp_1,0.0347458397128443
0,exp_1,0.0238419236282522
0,exp_1,0.0585831891019998
0,exp_1,0.0379352563050997
0,exp_1,0.112864699453649
0,exp_1,0.0662393522049508
0,exp_1,0.0664616617849803
0,exp_1,0.0419254984636609
0,exp_1,0.0460806128650148
0,exp_1,0.191600916273975
0,exp_1,0.103591397015486
0,exp_1,0.115960234683471
0,exp_1,0.128251346250899
0,exp_1,0.0724754930096295
0,exp_1,0.0525850634399618
0,exp_1,0.0725106113952188
0,exp_1,0.120092249235126
0,exp_1,0.0337409633528758
0,exp_1,0.0127007232314322
0,exp_1,0.0173186204398724
0,exp_1,0.0430155658685459
0,exp_1,0.00577434710443442
0,exp_1,0.0445966145381915
0,exp_1,0.116174300899964
0,exp_1,0.140492453612002
0,exp_1,0.0101814943666926
0,exp_1,0.0631435905087749
0,exp_1,0.0574519667747041
0,exp_1,0.0227836998930751
0,exp_1,0.0666065132660279
0,exp_1,0.0697188193892366
0,exp_1,0.0301759206814216
0,exp_1,0.0926203947558384
0,exp_1,0.407112931559874
0,exp_1,0.0400531528110671
0,exp_1,0.045132255004269
0,exp_1,0.306467817917033
0,exp_1,0.162643247114615
0,exp_1,0.0290477186830124
0,exp_1,0.0255130534701089
0,exp_1,0.194549155772234
0,exp_1,0.0512423559440634
0,exp_1,0.0359055388841282
0,exp_1,0.110533947259478
0,exp_1,0.0235284811249646
0,exp_1,0.06308017416828
0,exp_1,0.0632488043417982
0,exp_1,0.181235249944195
0,exp_1,0.109025088743198
0,exp_1,0.00659158890178834
0,exp_1,0.161250032091673
0,exp_1,0.102036210869742
0,exp_1,0.109055358362178
0,exp_1,0.0174623656350118
0,exp_1,0.0352950640441657
0,exp_1,0.0376584394499844
0,exp_1,0.0357829595172825
0,exp_1,0.206780471882062
0,exp_1,0.0250618454308645
0,exp_1,0.158643942354101
0,exp_1,0.0557430672993183
0,exp_1,0.0452995902243154
0,exp_1,0.0161853688983534
0,exp_1,0.04332432645143
0,exp_1,0.0289592775085689
0,exp_1,0.131955136820126
0,exp_1,0.060845025200424
0,exp_1,0.0704735807987659
0,exp_1,0.041734509512482
0,exp_1,0.0347455138464028
0,exp_1,0.0779573918495418
0,exp_1,0.0317623132759962
0,exp_1,0.0177000403713848
0,exp_1,0.0769975722989447
0,exp_1,0.120819985104617
0,exp_1,0.107099514536108
0,exp_1,0.147620777657468
0,exp_1,0.0799734137908083
0,exp_1,0.0536725428467034
0,exp_1,0.303483721923948
0,exp_1,0.182290016834161
0,exp_1,0.100714885669868
0,exp_1,0.0652304530752265
0,exp_1,0.229426736693673
0,exp_1,0.108459023331045
0,exp_1,0.232653069163253
0,exp_1,0.148922061333048
0,exp_1,0.110512505450716
0,exp_1,0.0909472402945298
0,exp_1,0.0195722001541963
0,exp_1,0.0940897193760258
0,exp_1,0.0526564604807667
0,exp_1,0.229094060319045
0,exp_1,0.0555299825022974
0,exp_1,0.0507633418870999
0,exp_1,0.0175911936218997
0,exp_1,0.0281881446287309
0,exp_1,0.140749959797766
0,exp_1,0.150478590407255
0,exp_1,0.0562232630448489
0,exp_1,0.053564966804852
0,exp_1,0.0219300784242277
0,exp_1,0.0996924283628381
0,exp_1,0.115269410110823
0,exp_1,0.102151291936376
0,exp_1,0.0593576148305189
0,exp_1,0.112032814644767
0,exp_1,0.0474588023824516
0,exp_1,0.158220815464001
0,exp_1,0.074585192760864
0,exp_1,0.0213302214952593
0,exp_1,0.0220868275107392
0,exp_1,0.0500006369638605
0,exp_1,0.03421633972776
0,exp_1,0.0180438988539475
0,exp_1,0.0295180492908191
0,exp_1,0.0568458503460187
0,exp_1,0.00791081312020299
0,exp_1,0.276471184467192
0,exp_1,0.160275650364966
0,exp_1,0.0880308462745061
0,exp_1,0.0748199868797031
0,exp_1,0.151043790669765
0,exp_1,0.151794481433795
0,exp_1,0.135843598195831
0,exp_1,0.140446896514003
0,exp_1,0.036389681638051
0,exp_1,0.0494220644364401
0,exp_1,0.0515992441736526
0,exp_1,0.0692704284399689
0,exp_1,0.0423989400185644
0,exp_1,0.128549640099848
0,exp_1,0.0206477083235782
0,exp_1,0.0488554292089522
0,exp_1,0.0552789368756729
0,exp_1,0.00891485156815491
0,exp_1,0.0362885335168687
0,exp_1,0.0874905803795239
0,exp_1,0.114851149621587
0,exp_1,0.0976298349200097
0,exp_1,0.179415229769232
0,exp_1,0.103660923087281
0,exp_1,0.0279128081053077
0,exp_1,0.0162793303649389
0,exp_1,0.10108500500164
0,exp_1,0.0728960743315953
0,exp_1,0.0532226569997988
0,exp_1,0.0483540622348335
0,exp_1,0.133507133535067
0,exp_1,0.0125786007961213
0,exp_1,0.0405982799012173
0,exp_1,0.0434337111369714
0,exp_1,0.0700964541172331
0,exp_1,0.0369303064343397
0,exp_1,0.146974916361535
0,exp_1,0.0162003918709984
0,exp_1,0.0736752177102615
0,exp_1,0.0296838295101773
0,exp_1,0.0373435968901029
0,exp_1,0.0767419556949281
0,exp_1,0.0332623099996434
0,exp_1,0.120038546443635
0,exp_1,0.123587761444324
0,exp_1,0.0539359308407802
0,exp_1,0.191892782650806
0,exp_1,0.0674683472870853
0,exp_1,0.0970373494828915
0,exp_1,0.129340876097513
0,exp_1,0.140947016790669
0,exp_1,0.0116043230879716
0,exp_1,0.0364512771769007
0,exp_1,0.0584260931903734
0,exp_1,0.248952853605107
0,exp_1,0.345576459575888
0,exp_1,0.0466987013868479
0,exp_1,0.00592094709944821
0,exp_1,0.0117758852281298
0,exp_1,0.124876526734629
0,exp_1,0.121348174019742
0,exp_1,0.0265990091833687
0,exp_1,0.116179100183134
0,exp_1,0.0219295438705186
0,exp_1,0.0683108780990727
0,exp_1,0.0368284036282231
0,exp_1,0.0411248994648261
0,exp_1,0.0387377616277422
0,exp_1,0.0643417031314737
0,exp_1,0.0535284980933675
0,exp_1,0.31449417103793
0,exp_1,0.0414202543936593
0,exp_1,0.0103092312430537
0,exp_1,0.0869216709451378
0,exp_1,0.0567260757717219
0,exp_1,0.119261349761344
0,exp_1,0.042027383788567
0,exp_1,0.0272118764242561
0,exp_1,0.17443055574705
0,exp_1,0.0281622635646792
0,exp_1,0.0192025149197092
0,exp_1,0.0348279455934406
0,exp_1,0.0465306149970026
0,exp_1,0.109544469584241
0,exp_1,0.080706349295802
0,exp_1,0.0492506083978417
0,exp_1,0.0367910601701349
0,exp_1,0.0198766674455794
0,exp_1,0.0892100422221025
0,exp_1,0.180861859104167
0,exp_1,0.105880437341398
0,exp_1,0.0506547056017854
0,exp_1,0.241012455846403
0,exp_1,0.104330090010222
0,exp_1,0.0297351677895787
0,exp_1,0.0387663161751448
0,exp_1,0.119476445660857
0,exp_1,0.0430680262756336
0,exp_1,0.0113438702173584
0,exp_1,0.102390753229551
0,exp_1,0.0321544862198822
0,exp_1,0.100315335006721
0,exp_1,0.0264927591609321
0,exp_1,0.0224408634139598
0,exp_1,0.0612197421886432
0,exp_1,0.120550312322483
0,exp_1,0.125080005949895
0,exp_1,0.0891404678415667
0,exp_1,0.0132908138505352
0,exp_1,0.0910109030544957
0,exp_1,0.0129840469555997
0,exp_1,0.091021766667416
0,exp_1,0.0151893782327288
0,exp_1,0.0164947343070694
0,exp_1,0.0889999367166347
0,exp_1,0.231571885212867
0,exp_1,0.261658731103011
0,exp_1,0.1907626609984
0,exp_1,0.145049845007058
0,exp_1,0.0542538684330796
0,exp_1,0.016219324566803
0,exp_1,0.0516352860308552
0,exp_1,0.140646527191429
0,exp_1,0.0553900101763082
0,exp_1,0.0320361155905666
0,exp_1,0.0344109035259205
0,exp_1,0.0187168381222334
0,exp_1,0.0141935316755239
0,exp_1,0.0721484958471827
0,exp_1,0.0692538409189377
0,exp_1,0.155233516845553
0,exp_1,0.0422505231393925
0,exp_1,0.0439195145863231
0,exp_1,0.0556037462805671
0,exp_1,0.0696102462145399
0,exp_1,0.0532420123962283
0,exp_1,0.0376642173722292
0,exp_1,0.186763065596797
0,exp_1,0.0281589047389618
0,exp_1,0.0576761327538539
0,exp_1,0.144714246113341
0,exp_1,0.140963730029075
0,exp_1,0.191450216778782
0,exp_1,0.0896902791198765
0,exp_1,0.0206360925855004
0,exp_1,0.0591463135771241
