boundary_loss,boundary_loss_epoch,boundary_loss_step,epoch,integrat_loss,integrat_loss_epoch,integrat_loss_step,population_loss,population_loss_epoch,population_loss_step,residual loss,residual loss_epoch,residual loss_step,step,total_loss,total_loss_epoch,total_loss_step,val_loss
58.209407806396484,,,0,282.02130126953125,,,12563.2021484375,,,0.5998647212982178,,,27,666.850341796875,,,666.850341796875
,,28.951351165771484,1,,,289.1529846191406,,,17021.8046875,,,0.0016731548821553588,49,,,634.8883666992188,
,,54.60626983642578,1,,,245.34893798828125,,,19429.2890625,,,0.013162289746105671,49,,,583.4312744140625,
,,56.127098083496094,1,,,242.621337890625,,,21428.20703125,,,0.01750943623483181,49,,,587.834228515625,
51.05190658569336,,,1,266.09906005859375,,,13949.2568359375,,,0.07622036337852478,,,55,614.2531127929688,,,614.2531127929688
,44.792518615722656,,1,,280.48822021484375,,,12027.4931640625,,,0.046049199998378754,,55,,634.296630859375,,
32.57738494873047,,,1,301.8567810058594,,,5594.55810546875,,,0.0016289600171148777,,,55,659.6646728515625,,,659.6646728515625
,43.13701629638672,,1,,287.88763427734375,,,5698.8984375,,,0.029199210926890373,,55,,650.2421875,,
33.5223503112793,,,1,302.0102233886719,,,6989.56298828125,,,0.008528181351721287,,,55,662.7766723632812,,,662.7766723632812
,50.957969665527344,,1,,249.39056396484375,,,47206.578125,,,0.05478920042514801,,55,,589.7529296875,,
51.241939544677734,,,2,253.97244262695312,,,19302.021484375,,,0.09505736827850342,,,83,589.9646606445312,,,589.9646606445312
,41.07706069946289,,2,,282.35406494140625,,,11092.548828125,,,0.05275629460811615,,83,,628.6273803710938,,
45.77525329589844,,,2,267.02508544921875,,,6692.046875,,,0.08721952140331268,,,83,612.4769897460938,,,612.4769897460938
43.78341293334961,,,2,268.7676696777344,,,26407.82421875,,,0.09639956057071686,,,83,615.7103271484375,,,615.7103271484375
,46.48429489135742,,2,,274.6437683105469,,,25048.345703125,,,0.07486998289823532,,83,,629.7999267578125,,
,39.09170150756836,,2,,278.560791015625,,,10176.451171875,,,0.03504252806305885,,83,,626.4627075195312,,
,,47.51360321044922,3,,,242.88658142089844,,,23424.37109375,,,0.001954545732587576,99,,,562.086669921875,
