boundary_loss,boundary_loss_epoch,boundary_loss_step,epoch,integrat_loss,integrat_loss_epoch,integrat_loss_step,population_loss,population_loss_epoch,population_loss_step,residual loss,residual loss_epoch,residual loss_step,step,total_loss,total_loss_epoch,total_loss_step,val_loss
,,31.245607376098633,0,,,305.1546630859375,,,1962.170166015625,,,0.0050191497430205345,49,,,660.7457885742188,
35.845123291015625,,,0,279.27978515625,,,4433.275390625,,,0.006203027442097664,,,62,619.4949340820312,,,619.4949340820312
,87.81358337402344,,0,,255.88803100585938,,,18108.564453125,,,0.026151394471526146,,62,,641.0299072265625,,
,,10.088827133178711,1,,,281.5968017578125,,,-1397.7000732421875,,,0.0007428329554386437,99,,,590.6569213867188,
33.84553909301758,,,1,259.6856994628906,,,20448.05078125,,,0.0009578384924679995,,,125,574.6331176757812,,,574.6331176757812
,86.84390258789062,,1,,258.1467590332031,,,20859.287109375,,,0.0535600446164608,,125,,633.7759399414062,,
,,16.842140197753906,2,,,299.3890075683594,,,2284.4443359375,,,0.00022466486552730203,149,,,624.269287109375,
31.113510131835938,,,2,257.1472473144531,,,12698.123046875,,,0.00014912287588231266,,,188,562.0537109375,,,562.0537109375
,95.5546646118164,,2,,259.058837890625,,,15717.2861328125,,,0.14893890917301178,,188,,636.816162109375,,
,,50.951236724853516,3,,,213.41421508789062,,,20986.08203125,,,0.00018033890228252858,199,,,505.3129577636719,
,,2.6449625492095947,3,,,315.7799987792969,,,3736.36474609375,,,1.6094263628474437e-05,249,,,635.9202270507812,
73.4318618774414,,,3,251.3758544921875,,,3171.5693359375,,,0.26942917704582214,,,251,592.16650390625,,,592.16650390625
,39.74772644042969,,3,,265.8567810058594,,,10929.17578125,,,0.09228631854057312,,251,,583.9772338867188,,
,,1.4779927730560303,4,,,316.69580078125,,,2028.2960205078125,,,6.1176974668342154e-06,299,,,635.6259155273438,
154.669921875,,,4,237.3585968017578,,,2330.89111328125,,,1.470210313796997,,,314,647.871826171875,,,647.871826171875
,56.84992599487305,,4,,264.40802001953125,,,4582.4912109375,,,0.3291535973548889,,314,,596.1145629882812,,
,,0.24274790287017822,5,,,283.2706604003906,,,-565.7084350585938,,,2.4351320462301373e-06,349,,,568.4494018554688,
58.79331970214844,,,5,250.44483947753906,,,723.7372436523438,,,0.7808095812797546,,,377,569.017578125,,,569.017578125
,31.27984046936035,,5,,266.81304931640625,,,1361.6383056640625,,,0.2979591488838196,,377,,571.2615966796875,,
,,327.962890625,6,,,184.3255615234375,,,959.68994140625,,,7.006471633911133,399,,,723.049072265625,
8.397285461425781,,,6,265.9016418457031,,,-0.31599050760269165,,,1.3720311926590512e-06,,,440,543.1986083984375,,,543.1986083984375
,56.031700134277344,,6,,265.72467041015625,,,658.0072021484375,,,1.326903223991394,,440,,593.711181640625,,
,,0.4599347710609436,7,,,282.5233154296875,,,-124.56478881835938,,,5.715751854040718e-07,449,,,565.99609375,
,,0.7349109649658203,7,,,280.9987487792969,,,-70.13007354736328,,,3.2391892546002055e-07,499,,,563.1367797851562,
47.827754974365234,,,7,261.0619201660156,,,542.5731811523438,,,2.8880326747894287,,,503,575.1272583007812,,,575.1272583007812
,43.343292236328125,,7,,261.8990173339844,,,597.7496337890625,,,2.0827832221984863,,503,,571.7439575195312,,
,,0.7279704213142395,8,,,317.15863037109375,,,64.81755828857422,,,1.6668076341375127e-07,549,,,636.4541015625,
46.67082214355469,,,8,244.6387939453125,,,605.2828369140625,,,5.061312198638916,,,566,540.22705078125,,,540.22705078125
,50.147518157958984,,8,,256.154296875,,,815.4087524414062,,,4.513700485229492,,566,,567.1239013671875,,
,,18.24148941040039,9,,,212.90798950195312,,,30.031312942504883,,,4.0652190591572435e-07,599,,,448.7019958496094,
6.085747718811035,,,9,269.3375549316406,,,18.254066467285156,,,1.4759089594917896e-07,,,629,546.9103393554688,,,546.9103393554688
,50.688655853271484,,9,,251.62472534179688,,,1121.4012451171875,,,8.481602668762207,,629,,558.0578002929688,,
,,253.2008056640625,10,,,186.59405517578125,,,5711.11962890625,,,71.45901489257812,649,,,639.3152465820312,
77.84756469726562,,,10,52.207794189453125,,,7054.8544921875,,,23.129152297973633,,,692,187.61724853515625,,,187.61724853515625
,32.1591682434082,,10,,221.83653259277344,,,967.645263671875,,,7.664938449859619,,692,,479.0418395996094,,
,,1.942373275756836,11,,,3.5012640953063965,,,8.789037704467773,,,5.132284996989256e-08,699,,,9.470168113708496,
,,0.5448294281959534,11,,,3.195070743560791,,,50.35592269897461,,,3.933082837193069e-08,749,,,7.5077033042907715,
36.54694366455078,,,11,30.868947982788086,,,4652.59912109375,,,19.43862533569336,,,755,102.87068176269531,,,102.87068176269531
,34.57167053222656,,11,,28.72034454345703,,,4409.72998046875,,,13.356376647949219,,755,,95.24230194091797,,
,,231.53309631347656,12,,,130.0250701904297,,,70842.640625,,,231.32254028320312,799,,,501.47314453125,
3.712998628616333,,,12,2.3571672439575195,,,24.60291862487793,,,9.555663638138867e-08,,,818,12.775092124938965,,,12.775092124938965
,42.968994140625,,12,,28.6390380859375,,,7435.76806640625,,,28.982772827148438,,818,,104.33789825439453,,
,,7.458171844482422,13,,,5.5322370529174805,,,-33.219276428222656,,,7.965672921272926e-08,849,,,21.66788101196289,
65.9345703125,,,13,37.60385513305664,,,4919.98193359375,,,27.48660659790039,,,881,147.65216064453125,,,147.65216064453125
,41.62312316894531,,13,,20.97580909729004,,,5616.2880859375,,,26.44754409790039,,881,,88.37570190429688,,
,,8.702527046203613,14,,,4.568066596984863,,,-21.631563186645508,,,4.606354764291609e-08,899,,,21.75571060180664,
33.897422790527344,,,14,18.415077209472656,,,752.1806030273438,,,7.445776462554932,,,944,77.02748107910156,,,77.02748107910156
,43.9234733581543,,14,,25.776004791259766,,,2016.7877197265625,,,13.934317588806152,,944,,100.65714263916016,,
,,198.63360595703125,15,,,122.62374114990234,,,5890.34716796875,,,58.34773254394531,949,,,448.8874206542969,
,,2.4713802337646484,15,,,2.008049964904785,,,20.56336784362793,,,2.177144509118989e-08,999,,,9.831266403198242,
4.542123794555664,,,15,1.9867630004882812,,,6.246694564819336,,,2.0022769220418013e-08,,,1007,11.873123168945312,,,11.873123168945312
,51.67286682128906,,15,,29.296688079833984,,,946.95166015625,,,10.304144859313965,,1007,,116.2411117553711,,
,,0.7279033064842224,16,,,1.1615893840789795,,,0.654207706451416,,,1.1140213196370041e-08,1049,,,6.493739604949951,
6.321203231811523,,,16,1.3972269296646118,,,1.8254035711288452,,,1.85949069475555e-08,,,1070,15.99021053314209,,,15.99021053314209
,26.915813446044922,,16,,14.291387557983398,,,271.09161376953125,,,3.5358035564422607,,1070,,62.01383972167969,,
,,3.296827793121338,17,,,0.29752010107040405,,,0.09282593429088593,,,1.7639830929283562e-08,1099,,,13.17348861694336,
32.2810173034668,,,17,17.657806396484375,,,202.4669189453125,,,3.0371711254119873,,,1133,72.45870208740234,,,72.45870208740234
,26.283477783203125,,17,,14.113826751708984,,,213.71041870117188,,,3.054999589920044,,1133,,60.63294219970703,,
,,193.52557373046875,18,,,112.02277374267578,,,1142.2384033203125,,,17.644020080566406,1149,,,424.60302734375,
31.475650787353516,,,18,16.222625732421875,,,80.53414154052734,,,1.8491045236587524,,,1196,72.27525329589844,,,72.27525329589844
,43.90141677856445,,18,,24.646570205688477,,,214.58470153808594,,,3.633934736251831,,1196,,99.77450561523438,,
,,8.761215209960938,19,,,1.3459928035736084,,,0.26266393065452576,,,1.3582965863179197e-08,1199,,,13.515366554260254,
,,178.17742919921875,19,,,125.44367218017578,,,590.3359985351562,,,12.243829727172852,1249,,,435.08331298828125,
57.00343704223633,,,19,31.68682289123535,,,105.0602798461914,,,2.5077297687530518,,,1259,126.62779235839844,,,126.62779235839844
,32.08024978637695,,19,,17.937292098999023,,,93.31732940673828,,,1.913832426071167,,1259,,74.67660522460938,,
,,0.920038104057312,20,,,0.8198843002319336,,,0.2032301425933838,,,5.34731903201191e-09,1299,,,6.1311354637146,
5.795158386230469,,,20,1.1275227069854736,,,0.04988490417599678,,,8.400440343336868e-09,,,1322,13.098296165466309,,,13.098296165466309
,40.05930709838867,,20,,22.97907829284668,,,70.87662506103516,,,1.6764167547225952,,1322,,92.62195587158203,,
,,10.537721633911133,21,,,0.25236478447914124,,,0.6869931221008301,,,9.720615423702839e-09,1349,,,24.133642196655273,
32.223106384277344,,,21,17.793006896972656,,,15.155750274658203,,,0.8359005451202393,,,1385,75.60762023925781,,,75.60762023925781
,34.04203796386719,,21,,19.08669090270996,,,31.197275161743164,,,1.100907325744629,,1385,,79.2127914428711,,
,,3.8207030296325684,22,,,0.9215068817138672,,,0.143281489610672,,,9.633968289790573e-09,1399,,,7.096934795379639,
58.31895065307617,,,22,27.442684173583984,,,18.246469497680664,,,1.0011801719665527,,,1448,120.80613708496094,,,120.80613708496094
,20.338275909423828,,22,,8.836542129516602,,,5.703647613525391,,,0.33578547835350037,,1448,,44.38532257080078,,
,,12.35079574584961,23,,,3.1730918884277344,,,-9.049328804016113,,,1.2337633137349258e-08,1449,,,24.956790924072266,
,,12.376266479492188,23,,,2.9603848457336426,,,-8.317580223083496,,,1.060030641042431e-08,1499,,,24.731708526611328,
30.6419677734375,,,23,13.436572074890137,,,3.757572650909424,,,0.18445925414562225,,,1511,62.29763412475586,,,62.29763412475586
,45.22289276123047,,23,,19.92877197265625,,,12.047358512878418,,,0.6704570651054382,,1511,,91.3908462524414,,
,,12.597904205322266,24,,,2.7025146484375,,,-7.302901744842529,,,8.254581018718454e-09,1549,,,24.719789505004883,
31.741254806518555,,,24,13.94192123413086,,,1.6909866333007812,,,0.11839152872562408,,,1574,67.41822814941406,,,67.41822814941406
